ff8083f4e6f7e2dd36cbe9a3a68d74f9,f,t,t.1,t.2,f.1,t.3,f.2,f.3,60.0,2.0,3.0
e6828c1cb3f10d3a4b6a53591d9a4815,f,f,t,t,f,f,t,f,0.0,0.0,2.0
e65fdf9387477ca8e6d402ffbaf21d31,f,,f,,f,,,,,,
e65500dff4cba0d2bc3cfcaeca102422,f,f,t,t,f,t,t,f,,0.0,3.0
e64dd750685a186bbb34d08ed68290f0,f,f,t,t,f,f,t,f,,0.0,2.0
e634ee14e66d35e54aefca182938a537,t,t,t,t,t,t,t,f,83.0,5.0,9.0
e61f0a904b63fba9c008cef120c4a177,f,f,t,f,f,f,t,f,,0.0,1.0
e59c77d9559f773acb01a1aa8b7c3be8,f,,f,,f,,,,,,
e5381af79dc9062ed4850c2e38fb1e38,f,f,t,t,t,f,t,f,100.0,0.0,2.0
e4e4dc263a700872a42f6613f151acd7,f,f,t,f,t,t,t,f,71.0,0.0,14.0
e4a5f46e79e9d50c46e8ee2e642978fe,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e485cb752593775d2671910874e336a4,f,f,t,t,f,t,t,f,,0.0,4.0
e365364b7cca61e0d5b996c66878d1bb,f,f,f,f,f,f,t,f,0.0,0.0,1.0
e350484c51e6548142cf7343454b31fd,f,,f,,f,,,,,,
e29a35aa874bdd52f7cc3fd1a6281ea8,f,,f,,f,,,,,,
e26bd43bf16703985516c0bf7a7bb0b0,f,t,f,f,f,f,f,f,33.0,1.0,1.0
e2518151a1c9a8f0be1b347c57fb02e3,f,f,t,t,f,f,t,f,,0.0,1.0
e22bb5f74b163c9a4b6ffc051066bce7,t,t,t,t,t,t,t,f,62.0,3.0,7.0
e22638bc2d5fdac39b7425e7a20eab22,f,,f,,f,,,,,,
e222997d5c1ac39a1cdae76076c088d7,f,f,t,t,t,t,t,f,83.0,0.0,9.0
e13d8bf04de283465963cd71210ac1f0,t,t,t,t,t,t,f,f,100.0,1.0,3.0
e1309b1e7ff0b097a31789163b22a0d6,f,f,t,t,t,t,t,f,71.0,0.0,8.0
e12cb388ae714f6e96717a1ab9c1878b,f,f,t,t,f,f,t,f,,0.0,2.0
e10121d20ec28da175bddfd7ccb74a05,f,f,f,f,t,f,f,f,100.0,0.0,1.0
e0bf1d99bc76f7ad753fa8ea96625d05,f,f,t,t,f,t,t,f,0.0,0.0,3.0
e05cbc406b45906f4d12b210f1e415eb,f,f,t,t,t,f,t,f,66.0,0.0,2.0
e036f97ee20c374196a46f24d3ecfe6b,f,f,t,t,t,f,t,f,100.0,0.0,2.0
dfa2e141dd528ad1c40ca08b91d3f38e,f,,f,,f,,,,,,
df89eed1614fd7d889538113b1dee5b5,f,f,t,t,f,t,t,f,,0.0,5.0
df843004b34f2bc49bbe858d6a6bbd6f,f,f,t,f,t,f,t,f,100.0,0.0,1.0
df6ec8b5d33ca6c30516deaccadf41d6,t,t,t,t,t,t,f,f,75.0,4.0,3.0
df6893097dd73645549c9ab659f8ee19,f,,f,,f,,,,,,
df5202c7b64c5b7d69f9baaf2ab1aacb,f,f,f,f,t,f,f,f,100.0,0.0,1.0
df4f68a9ed02760b05872fa8eaaee5e1,f,,f,,f,,,,,,
dee2872947f2a2f757685adcb417a4b7,f,f,t,f,f,f,t,f,0.0,0.0,2.0
de9b92122c526f45e924878a55c9d86e,t,t,t,t,t,f,t,f,66.0,1.0,2.0
de88332d888f672dd161b8004c991951,f,f,t,t,f,f,t,f,,0.0,1.0
de395027892e44a750a5f9609d83a0ec,f,f,t,f,f,f,t,f,0.0,0.0,1.0
dde150f70d2f5aed7a4e51c99c378eff,f,f,t,t,t,f,t,f,100.0,0.0,2.0
ddbe0da782883f0527cef9029f0bfd5b,f,f,t,f,f,f,t,f,,0.0,1.0
dc49dad278131dd87f9975fb6e18be87,f,,f,,f,,,,,,
dba722a06c1f01c5cf1b3ca8ad21afa0,f,f,t,t,f,t,t,f,50.0,0.0,3.0
db96531816943530dce7d7fb52e8f020,f,f,t,f,t,f,t,f,100.0,0.0,1.0
db68a1592461089adc9cf6edfcbd6093,f,t,t,t,f,t,f,f,46.0,7.0,5.0
db677db662932ea3301b62a0d1a162af,f,f,t,f,f,f,t,f,0.0,0.0,1.0
daf8e08ec9d1b747cae3b4d0408c0d60,f,f,f,f,f,f,f,f,,0.0,1.0
dae160584cfe34528f079ba189570963,f,f,f,f,t,f,f,f,100.0,0.0,1.0
dabba6eedb29d837314629093a68992f,t,t,t,t,t,t,t,f,81.0,26.0,11.0
dab90237fb721050ccbae4fc1a62c717,f,f,t,t,t,t,f,f,71.0,0.0,9.0
dab2f0478b2a23c6797328c18c99b3aa,f,t,f,t,f,f,f,f,33.0,2.0,1.0
daaae408ca8b1c6a757df6c2cdd02ff4,f,f,t,t,f,f,t,f,0.0,0.0,2.0
da918791dd42c514264dc96750144a7a,f,f,t,f,f,t,t,f,0.0,0.0,3.0
da52f9d4665981afa35445549ec616b3,f,t,t,t,f,t,f,f,34.0,1.0,30.0
da3cc48c6143b3aaa3c45f27c12b72a0,f,t,t,t,f,f,t,f,0.0,2.0,2.0
da0f7edba23a45a7df757714cf556a47,f,f,t,t,f,t,t,f,60.0,0.0,9.0
d988b43e76a6ca1a82125f24f938b40b,f,t,f,t,t,t,f,f,80.0,1.0,7.0
d975d4fc285b381e8194f32b79e423b3,f,t,t,t,f,t,t,f,50.0,4.0,5.0
d9508844234ffe702cbb8e3d08325111,f,t,t,t,f,f,f,f,50.0,1.0,1.0
d8ab58dc290165ba57f0158dd2f428db,f,f,t,t,f,t,t,f,35.0,0.0,20.0
d8a12db88f67fadd07381b0df7333c6e,f,f,f,t,t,f,t,f,100.0,0.0,2.0
d88a20f2452ab577632ef62c94957459,f,f,t,f,t,f,t,f,100.0,0.0,1.0
d84eba5228b3a301786043712c726b84,f,t,f,f,f,t,f,f,36.0,3.0,8.0
d7c50ddb605a27d1ae648335ef716d13,f,f,t,t,f,t,t,f,45.0,0.0,13.0
d6b710e64ea1f36c94ce1aef1e107109,f,f,t,f,f,f,t,f,0.0,0.0,1.0
d675130377b08f986496bcb6e960bac4,f,f,t,t,t,t,t,f,83.0,0.0,6.0
d6677fb1b9972ee6a58e6f2f72b23165,f,f,t,t,f,f,t,f,50.0,0.0,2.0
d64a1cccf70e688843e4608c81df309a,f,t,t,f,f,t,f,f,42.0,1.0,13.0
d5933cfb6aae7d75e788da1b8b92ff34,f,f,f,t,f,f,f,f,0.0,0.0,2.0
d568e44c3644f07e5afb47c02f070ea0,f,t,t,t,f,t,t,f,16.0,2.0,4.0
d55f1901eb989139b2d15d2bcbe1b2dc,f,f,t,t,f,f,t,f,,0.0,1.0
d55965cbae5da9ad9454178cad9a99bf,f,f,t,t,t,t,t,f,66.0,0.0,10.0
d5266df97d40ce1f279efbcb2398ddd7,f,,f,,f,,,,,,
d4ab74ff207a77cad703004d53613b66,f,,f,,f,,,,,,
d46541a994a2b16ae4f05e09021daefc,f,t,t,t,f,t,t,f,52.0,8.0,7.0
d425008af373fbeaa9d072bd45f213c8,f,f,t,t,f,t,t,f,,0.0,4.0
d41b719dfecf209895b6774fe49b829a,f,f,f,f,f,f,f,f,0.0,0.0,1.0
d37b2092a52c1cb7d81f562504bfd13c,f,f,t,t,t,t,t,t,88.0,0.0,12.0
d338accd9e4158900667db00a4b4a734,f,f,t,f,t,t,t,f,66.0,0.0,3.0
d2994f73c522a692df8f4426fc23ebf1,f,f,t,t,f,f,t,f,,0.0,1.0
d2911f458c2fb8d3da60bbbd111b70d1,f,,f,,f,,,,,,
d2521b64d9fcef77c3ac94e4723bf2b9,f,t,t,t,f,t,t,f,29.0,3.0,5.0
d21938f71855bc0358309ce8114b8ffb,f,f,t,t,t,t,t,f,100.0,0.0,4.0
d0ac94e6e68420be38798d064d5be0f1,f,f,t,f,f,f,t,f,0.0,0.0,2.0
cf7124b749c8bbe1e9de98343014c13e,f,f,t,t,t,t,f,f,75.0,0.0,4.0
cf55f6b109f440e4f8bfca9263cfdd26,f,t,t,t,f,f,f,f,33.0,5.0,1.0
cec16590de7f4dbd804d99dc617283c7,f,f,t,t,f,t,t,f,0.0,0.0,3.0
cea53caebcf647316b76d35a46cdd392,f,,f,,f,,,,,,
ce9ac17909c86627c0b1e100837bd2e0,f,f,t,t,f,t,f,f,,0.0,4.0
ce5160aa2a0a598c174a7d0184050bba,f,f,t,f,f,f,t,f,0.0,0.0,1.0
ce4cd1e956e8a2c5488e75ace67b2126,f,f,t,f,f,f,t,f,0.0,0.0,2.0
ce3ec2eaed01dbb5376ce44f1ef8b784,f,f,t,t,f,t,t,f,,0.0,6.0
cdec4d3620e4008c098c8d1268e63ad7,f,,f,,f,,,,,,
cdc54fe550bf5243923b69191e102695,f,f,f,t,t,t,t,f,100.0,0.0,4.0
cd95811800ebf0391ae033f23d97fb92,f,f,t,t,t,t,t,f,83.0,0.0,7.0
cd22789f3e57f7830c5e0faf6d903a58,f,t,t,t,f,t,t,f,50.0,1.0,3.0
cd1d8c71db14faa7b63a8814dbae40a9,f,,f,,f,,,,,,
cccc37cf0a90be05ce419a48c77dec5e,f,f,t,t,f,f,t,f,,0.0,1.0
ccc34d5cece3a53b1f25716ccd69c242,f,f,f,t,t,t,f,f,100.0,0.0,3.0
cc6f4f61c4100c8486e1643a0c9ff2e3,f,t,t,t,f,f,t,f,33.0,1.0,2.0
cc6c5abfa0fc1981c39c2b56bbf3bc12,f,,f,,f,,,,,,
cc6afad5e38055914672f884cd97ebad,f,f,t,f,f,t,t,f,33.0,0.0,3.0
cc661211c9da72a987994b510fee5403,f,,f,,f,,,,,,
cc2228f006818e157089ea847a159230,f,f,t,f,t,t,t,f,75.0,0.0,4.0
cbd68c34ae4fb97449fa14914c0a2cec,f,t,t,t,f,f,t,f,0.0,1.0,2.0
cbae55851ffaa956061a67da58a39049,f,f,t,t,t,t,t,f,75.0,0.0,12.0
cba32d10af6e65ea77f920ee5d91a99b,f,f,t,t,f,f,t,f,,0.0,1.0
cb89c2a41c147073864dbb4d5198c48e,f,f,t,t,t,t,t,f,66.0,0.0,4.0
cb4695460fe7e19d7ce9ca0de9c8aac5,f,f,t,t,t,t,t,t,71.0,0.0,19.0
cb3c215e34435e3eba2a66ef9bc50cf7,f,f,t,t,f,f,t,f,,0.0,1.0
cb30083c47b10e42296bc93c7b325663,f,f,t,t,f,t,t,f,60.0,0.0,5.0
ca545909d50f3af3b1631c153c4a61c6,f,f,t,t,f,t,t,f,40.0,0.0,6.0
c9f3bddf3f2f4d4c836bfe2617c02443,f,f,f,t,t,f,f,f,100.0,0.0,1.0
c9730559572f6b20d30f5d95e92e8cad,f,t,t,t,f,f,f,f,57.0,4.0,2.0
c8e6c4719e77d1840c7d53b17e9830e9,f,t,t,t,f,t,f,f,42.0,3.0,5.0
c8ad826b02aca95ee6fad62ab49883dc,f,f,t,t,f,t,t,f,50.0,0.0,6.0
c881021bf6eed80ce04b6fba66c723f6,t,t,t,t,t,t,t,f,66.0,2.0,3.0
c803fa03f2e0fb80282edd6ba6f47780,t,t,t,t,t,f,t,f,66.0,2.0,2.0
c7c914f42bc79d39494a857c6c73e82f,f,f,t,t,t,t,t,f,71.0,0.0,8.0
c7accb492ce480524658d8e4f583e38b,f,t,t,t,f,f,f,f,47.0,13.0,1.0
c7a1f8be539e67ea871e2121a7a0eedd,f,f,t,t,f,f,t,f,0.0,0.0,2.0
c73e3327a483243dfade9adfb7529fe0,f,f,t,t,f,t,t,f,,0.0,7.0
c6e03d20ab8b81ebd0e9d4c154c4a916,f,f,t,t,f,f,t,f,,0.0,2.0
c6d8dda38646ab80ce0a1923eb4a63a4,f,,f,,f,,,,,,
c6cf7a595bf1d3070f5e38dd9dbdc189,f,f,t,f,f,f,t,f,0.0,0.0,1.0
c66895e5cb495a26b2ad4c710b850f38,f,t,t,t,f,f,t,f,25.0,5.0,2.0
c63ea82c26e2b30091df3d918f02981b,f,f,f,t,t,t,f,f,100.0,0.0,4.0
c63ca0fd5e68b023c08927380ff63cb6,f,f,t,f,f,f,t,f,,0.0,1.0
c60210f3291b5246d69b094f49c38811,f,,f,,f,,,,,,
c5f53dd026f94c011011e67caed7f8c3,f,t,t,t,f,t,t,f,0.0,1.0,3.0
c3f735dba87a737e87304b23dd24d57e,f,f,t,t,f,t,f,f,20.0,0.0,5.0
c3e0b15512b25449eda973f8bd1bb4c3,f,t,t,t,f,t,t,f,25.0,1.0,4.0
c3ac59d8dc2c4aeb155ef5b9ec14096b,f,f,t,t,t,t,t,f,75.0,0.0,4.0
c3a78e33d1f01993470de2b2f2964a81,f,,f,,f,,,,,,
c36fe88a07b711797f9a768669488dd0,f,f,f,t,t,t,t,f,100.0,0.0,6.0
c2ad1376ed1fda15d0c8738c824742fc,f,,f,,f,,,,,,
c26c1ae71451c25ece3f0cc23fcabd51,f,f,t,t,t,t,t,f,75.0,0.0,4.0
c1c563aada7735595fb7a9f980abe09a,f,f,f,t,t,f,t,f,100.0,0.0,1.0
c169cecb42f0e08e3a6646028d41a1a9,f,f,t,t,f,t,t,f,16.0,0.0,11.0
c13732984adbae2e7d047743c09a95e6,f,f,t,t,f,f,t,f,,0.0,1.0
c09eb91661ebdfcc5f3b4b23970961db,f,f,t,t,f,f,t,f,,0.0,2.0
c083e4c1099f10a2603c6daaf387015e,f,f,f,f,f,t,f,f,33.0,0.0,3.0
c07fcb5f28c0a45c7831c7eeb71f0da7,f,,f,,f,,,,,,
c03e497a748bf64662fb5eb0c697f6d0,f,f,t,f,f,f,t,f,,0.0,1.0
c037b180cff343b0d3748ae63812406a,f,,f,,f,,,,,,
bfdada86f6336078fea6741aad3ffdf9,f,f,t,f,f,f,t,f,0.0,0.0,2.0
bf89c483afda1fae6dbe9c9da44bc12a,f,f,t,t,f,t,t,f,,0.0,3.0
be4fa8df5a116b0726b4c8ac99662ee2,f,f,t,t,f,t,f,f,20.0,0.0,5.0
be4331f87c5dc2a11a1221eb7659ac80,f,f,t,t,f,t,t,f,0.0,0.0,4.0
bdd277e05a575dd36dec39d984b0de35,f,t,t,t,f,f,t,f,16.0,4.0,1.0
bd7300d11af16257a12b595c9ca97f07,t,t,t,t,t,t,t,f,100.0,5.0,5.0
bd6f16deca25422bf7b885cd65c0d3b0,f,f,t,t,t,t,f,f,100.0,0.0,8.0
bd6de83d4868f5ae76876050eaea5c05,f,f,t,t,t,t,t,f,66.0,0.0,4.0
bd5959ef482e3cca40298a5064cca59d,f,t,t,t,f,t,t,f,25.0,2.0,5.0
bd3d3020ac8e20514735254a72fde5d9,f,,f,,f,,,,,,
bd29703bead92ff14c783e062b3a7e88,f,f,t,t,f,t,t,f,0.0,0.0,3.0
bce76aa3c9ea1a6e3bd9e0adcfe2a8a1,f,,f,,f,,,,,,
bc4f045fd366ab277729b5a03d5d3b2d,f,f,t,t,t,t,t,f,100.0,0.0,3.0
bbd79b4f9b481b3a79fcef81e43ddec6,t,t,t,t,t,t,t,f,66.0,2.0,6.0
bbb8f0a2bb24e09f894f9c87800b0ece,f,,f,,f,,,,,,
bb7968ffecc0877faa93b0887ef62b99,f,f,t,f,f,t,t,f,50.0,0.0,4.0
bb5a0820a5d74af9ea17aa283d409fe8,f,f,f,t,f,f,f,f,,0.0,1.0
bb326b87e800b98c642af1eeaea0835f,f,t,f,t,t,t,f,f,100.0,1.0,5.0
bb2274189b744e21d40b5c90738b451d,f,f,f,f,f,f,f,f,0.0,0.0,1.0
baa8da9873a13699844b69cb05fb6714,f,,f,,f,,,,,,
baa7113911844f0fc9bb5a1cb91eddf9,f,f,f,t,t,t,f,f,100.0,0.0,3.0
ba9a0d954d95c67b7270435879ca3c1a,f,f,f,t,t,f,f,f,100.0,0.0,1.0
ba78c6164e94c5fec57e61837c29d44d,f,f,t,f,f,t,t,f,,0.0,3.0
ba0e8dcdf176949372b7043ff95b3534,f,t,f,t,f,f,f,f,50.0,2.0,0.0
b9d1bce5492aaa70d40044dae3eb42b9,f,f,t,f,f,f,t,f,,0.0,2.0
b9c8943b180a1ab0ec42485149ecb10f,t,t,t,t,t,t,t,f,100.0,1.0,6.0
b9a8b34b40474709c5802216ca0c6808,f,f,t,t,t,t,t,f,66.0,0.0,6.0
b98d664945ab6dd0b61e7b424150137e,f,f,t,f,f,f,t,f,0.0,0.0,2.0
b91b3c60917345cc29eebf24dbe0c227,f,f,t,t,t,t,t,t,80.0,0.0,5.0
b9031be505a561f60041293fc4f47f93,f,f,t,t,t,f,t,f,100.0,0.0,1.0
b8e10788906528d5997452b0738542b0,f,t,t,t,f,f,t,f,50.0,1.0,1.0
b8d5b50120bfa8ba6a11ce1e77507f7e,f,f,t,t,f,f,t,f,,0.0,1.0
b8d21a4df021514a704e7298c1da07cd,f,,f,,f,,,,,,
b8bd0159c4bc3f97895ed8a20abc8e1c,f,f,t,t,t,f,t,f,100.0,0.0,2.0
b8b9f46badd8bb02b365e11ffcd14b97,f,f,t,f,f,t,t,f,50.0,0.0,3.0
b8b0c5a01ec3af675a76c3ea792b1d25,f,f,t,t,t,f,t,f,100.0,0.0,1.0
b891617383c5ba4cc42534dabf545ef1,f,f,t,f,f,f,t,f,,0.0,2.0
b88931258cddfb1f9dd3ebeefc50ef28,f,,f,,f,,,,,,
b882250ac28c69b8ed665457367eab66,f,,f,,f,,,,,,
b848e9b6cc4caa96cbac4ea6fec8429d,f,,f,,f,,,,,,
b7e37f605fb76936242523d9677a66cf,f,f,t,t,f,f,t,f,0.0,0.0,2.0
b76d572d4dc2a547cd6ede042d77687b,f,f,t,t,t,t,t,f,66.0,0.0,10.0
b76d15384f05614c1be100c7d2667524,f,t,t,t,f,f,f,f,0.0,3.0,0.0
b75b6f42a4e14b4302667ab6d5c6392a,f,f,t,t,f,t,t,f,50.0,0.0,5.0
b6f068e5abb4e1aa10489190ec958340,f,f,t,t,t,f,t,f,100.0,0.0,1.0
